frame,delta_seconds
945,0.009339
946,0.009424
947,0.009402
948,0.009803
949,0.009626
950,0.009410
951,0.009296
952,0.009427
953,0.009408
954,0.009302
955,0.009473
956,0.009543
957,0.009377
958,0.009348
959,0.009358
960,0.009380
961,0.009466
962,0.009134
963,0.009404
964,0.009506
965,0.009398
966,0.009379
967,0.009727
968,0.009429
969,0.009459
970,0.009306
971,0.009591
972,0.009162
973,0.009429
974,0.009368
975,0.009366
976,0.009399
977,0.009265
978,0.009645
979,0.009312
980,0.009436
981,0.009423
982,0.009187
983,0.009354
984,0.009512
985,0.009921
986,0.009247
987,0.009315
988,0.009469
989,0.009401
990,0.009498
991,0.009300
992,0.009339
993,0.009430
994,0.009312
995,0.009388
996,0.009336
997,0.009634
998,0.009311
999,0.009875
1000,0.009360
1001,0.009481
1002,0.009534
1003,0.009155
1004,0.009634
1005,0.009406
1006,0.009394
1007,0.009248
1008,0.009444
1009,0.009391
1010,0.009444
1011,0.009330
1012,0.009391
1013,0.009548
1014,0.009404
1015,0.009394
1016,0.009340
1017,0.009426
1018,0.009741
1019,0.009562
1020,0.009291
1021,0.009374
1022,0.009456
1023,0.009243
1024,0.009327
1025,0.009536
1026,0.009462
1027,0.009422
1028,0.009270
1029,0.009502
1030,0.009529
1031,0.009187
1032,0.009365
1033,0.009374
1034,0.009585
1035,0.009250
1036,0.009903
1037,0.009415
1038,0.009533
1039,0.040785
1040,0.006785
1041,0.010197
1042,0.009438
1043,0.009721
1044,0.009139
1045,0.009456
1046,0.009380
1047,0.009361
1048,0.009412
1049,0.009503
1050,0.009637
1051,0.009360
1052,0.009483
1053,0.009332
1054,0.009486
1055,0.009532
1056,0.009246
1057,0.009464
1058,0.009207
1059,0.009498
1060,0.009565
1061,0.009239
1062,0.009418
1063,0.009346
1064,0.009694
1065,0.009829
1066,0.009271
1067,0.009423
1068,0.009455
1069,0.009302
1070,0.009428
1071,0.009374
1072,0.009381
1073,0.009314
1074,0.009308
1075,0.009500
1076,0.009427
1077,0.009500
1078,0.009354
1079,0.009408
1080,0.009454
1081,0.009564
1082,0.009259
1083,0.009467
1084,0.009921
1085,0.009412
1086,0.009329
1087,0.009356
1088,0.009425
1089,0.009402
1090,0.009464
1091,0.009514
1092,0.009405
1093,0.009481
1094,0.009200
1095,0.009571
1096,0.009238
1097,0.009422
1098,0.009251
1099,0.009598
1100,0.009415
1101,0.009423
1102,0.009796
1103,0.009395
1104,0.009330
1105,0.009430
1106,0.009501
1107,0.009604
1108,0.009318
1109,0.009313
1110,0.009374
1111,0.009476
1112,0.009608
1113,0.009329
1114,0.009380
1115,0.009376
1116,0.009603
1117,0.009152
1118,0.009886
1119,0.009404
1120,0.009319
1121,0.009449
1122,0.009331
1123,0.009868
1124,0.009348
1125,0.009488
1126,0.009455
1127,0.009347
1128,0.009801
1129,0.009388
1130,0.009506
1131,0.009557
1132,0.009644
1133,0.009387
1134,0.009405
1135,0.009325
1136,0.009524
1137,0.009296
1138,0.009528
1139,0.009317
1140,0.010126
1141,0.009062
1142,0.009438
1143,0.009555
1144,0.009414
1145,0.009350
1146,0.009536
1147,0.009388
1148,0.009248
1149,0.009331
1150,0.009619
1151,0.009301
1152,0.009459
1153,0.009410
1154,0.009721
1155,0.009552
1156,0.009459
1157,0.009421
1158,0.009235
1159,0.009535
1160,0.009340
1161,0.009247
1162,0.009529
1163,0.009287
1164,0.009347
1165,0.009410
1166,0.009451
1167,0.009565
1168,0.009344
1169,0.009369
1170,0.009413
1171,0.009189
1172,0.009422
1173,0.009929
1174,0.009373
1175,0.009393
1176,0.009524
1177,0.009106
1178,0.009682
1179,0.009227
1180,0.009487
1181,0.009314
1182,0.009582
1183,0.009682
1184,0.009190
1185,0.009515
1186,0.009475
1187,0.009706
1188,0.009373
1189,0.009287
1190,0.009596
1191,0.009546
1192,0.009415
1193,0.009318
1194,0.009441
1195,0.009443
1196,0.009338
1197,0.009430
1198,0.009495
1199,0.009332
1200,0.009298
1201,0.009359
1202,0.009501
1203,0.009188
1204,0.009869
1205,0.009476
1206,0.009410
1207,0.009320
1208,0.009418
1209,0.009228
1210,0.009530
1211,0.009423
1212,0.009264
1213,0.009377
1214,0.009585
1215,0.009688
1216,0.009400
1217,0.009299
1218,0.009765
1219,0.009263
1220,0.009480
1221,0.009915
1222,0.009276
1223,0.009318
1224,0.009307
1225,0.009481
1226,0.009422
1227,0.009436
1228,0.009276
1229,0.009499
1230,0.009269
1231,0.009259
1232,0.009363
1233,0.009646
1234,0.009311
1235,0.009382
1236,0.009474
1237,0.009332
1238,0.009481
1239,0.009520
1240,0.009634
1241,0.009409
1242,0.009445
1243,0.009461
1244,0.009189
1245,0.009443
1246,0.009345
1247,0.009395
1248,0.009427
1249,0.009636
1250,0.009589
1251,0.009269
1252,0.009397
1253,0.009302
1254,0.009500
1255,0.009357
1256,0.009359
1257,0.009369
1258,0.009412
1259,0.009323
1260,0.009482
1261,0.009378
1262,0.009340
1263,0.009175
1264,0.009411
1265,0.009510
1266,0.009478
1267,0.009376
1268,0.010426
1269,0.039216
1270,0.008425
1271,0.008871
1272,0.009384
1273,0.009483
1274,0.009153
1275,0.009446
1276,0.009288
1277,0.009420
1278,0.009300
1279,0.009397
1280,0.009280
1281,0.009363
1282,0.009423
1283,0.009650
1284,0.009650
1285,0.009243
1286,0.009514
1287,0.009273
1288,0.009369
1289,0.009244
1290,0.009573
1291,0.009787
1292,0.009252
1293,0.009446
1294,0.009282
1295,0.009554
1296,0.009090
1297,0.009410
1298,0.009375
1299,0.009310
1300,0.009496
1301,0.009234
1302,0.009571
1303,0.009241
1304,0.009454
1305,0.009175
1306,0.009522
1307,0.009343
1308,0.009385
1309,0.009354
1310,0.009860
1311,0.009401
1312,0.009445
1313,0.009382
1314,0.009370
1315,0.009288
1316,0.009537
1317,0.009236
1318,0.009603
1319,0.009164
1320,0.009438
1321,0.009309
1322,0.009401
1323,0.009437
1324,0.009434
1325,0.009314
1326,0.009244
1327,0.009383
1328,0.009421
1329,0.009901
1330,0.009391
1331,0.009281
1332,0.009423
1333,0.009377
1334,0.009483
1335,0.009330
1336,0.009524
1337,0.009251
1338,0.009415
1339,0.009449
1340,0.009363
1341,0.009516
1342,0.009174
1343,0.009454
1344,0.009290
1345,0.009502
1346,0.009316
1347,0.009559
1348,0.009319
1349,0.009769
1350,0.009482
1351,0.009198
1352,0.009470
1353,0.009370
1354,0.009391
1355,0.009539
1356,0.009317
1357,0.009386
1358,0.009293
1359,0.009517
1360,0.009224
1361,0.009318
1362,0.009591
1363,0.009220
1364,0.009510
1365,0.009733
1366,0.009369
1367,0.009427
1368,0.009446
1369,0.009452
1370,0.009350
1371,0.009408
1372,0.009220
1373,0.009414
1374,0.009724
1375,0.009333
1376,0.009559
1377,0.009392
1378,0.009266
1379,0.009527
1380,0.009411
1381,0.009312
1382,0.009398
1383,0.009490
1384,0.009707
1385,0.009428
1386,0.009434
1387,0.009370
1388,0.009238
1389,0.009557
1390,0.009579
1391,0.009198
1392,0.009373
1393,0.009545
1394,0.009305
1395,0.009332
1396,0.009532
1397,0.009464
1398,0.010047
1399,0.009336
1400,0.009526
1401,0.009295
1402,0.009597
1403,0.009088
1404,0.009323
1405,0.009443
1406,0.009384
1407,0.009477
1408,0.009355
1409,0.009454
1410,0.009507
1411,0.009135
1412,0.009395
1413,0.009409
1414,0.009576
1415,0.009706
1416,0.009488
1417,0.009145
1418,0.009626
1419,0.009487
1420,0.009395
1421,0.009328
1422,0.009417
1423,0.009543
1424,0.009392
1425,0.009214
1426,0.009564
1427,0.009207
1428,0.009350
1429,0.009529
1430,0.009343
1431,0.009451
1432,0.009398
1433,0.009320
1434,0.009747
1435,0.009535
1436,0.009395
1437,0.009275
1438,0.009469
1439,0.009381
1440,0.009620
1441,0.009691
1442,0.009524
1443,0.009492
1444,0.009425
1445,0.009177
1446,0.009426
1447,0.009388
1448,0.009524
1449,0.009364
1450,0.009355
1451,0.009248
1452,0.009547
1453,0.009416
1454,0.009390
1455,0.009370
1456,0.009380
1457,0.009675
1458,0.009442
1459,0.009309
1460,0.009448
1461,0.009559
1462,0.009403
1463,0.009502
1464,0.009213
1465,0.009437
1466,0.009212
1467,0.009623
1468,0.009288
1469,0.009485
1470,0.009486
1471,0.009843
1472,0.009208
1473,0.009390
1474,0.009384
1475,0.009497
1476,0.009435
1477,0.009296
1478,0.009563
1479,0.009440
1480,0.009268
1481,0.009207
1482,0.009592
1483,0.009274
1484,0.009529
1485,0.009320
1486,0.009313
1487,0.009442
1488,0.009205
1489,0.010032
1490,0.009372
1491,0.009165
1492,0.009535
1493,0.009313
1494,0.009485
1495,0.009269
1496,0.009639
1497,0.009292
1498,0.040066
1499,0.011061
1500,0.009864
1501,0.009311
1502,0.009546
1503,0.008976
1504,0.009428
1505,0.009974
1506,0.009421
1507,0.009584
1508,0.009606
1509,0.009195
1510,0.009511
1511,0.009231
1512,0.009368
1513,0.009627
1514,0.009249
1515,0.009393
1516,0.009340
1517,0.009398
1518,0.009418
1519,0.009378
1520,0.009606
1521,0.009794
1522,0.009254
1523,0.009571
1524,0.009361
1525,0.009786
1526,0.009361
1527,0.009588
1528,0.009398
1529,0.009536
1530,0.009362
1531,0.009423
1532,0.009395
1533,0.009315
1534,0.009431
1535,0.009527
1536,0.009440
1537,0.009242
1538,0.009511
1539,0.009364
1540,0.009275
1541,0.009431
1542,0.009609
1543,0.009294
1544,0.009877
1545,0.009297
1546,0.009473
1547,0.009561
1548,0.009235
1549,0.009455
1550,0.009359
1551,0.009371
1552,0.009352
1553,0.009470
1554,0.009381
1555,0.009443
1556,0.009333
1557,0.009333
1558,0.009497
1559,0.009425
1560,0.009393
1561,0.009193
1562,0.009526
1563,0.009802
1564,0.009371
1565,0.009245
1566,0.009479
1567,0.009378
1568,0.009603
1569,0.009407
1570,0.009211
1571,0.009223
1572,0.009687
1573,0.009233
1574,0.009429
1575,0.009359
1576,0.009479
1577,0.009376
1578,0.009386
1579,0.009233
1580,0.009528
1581,0.009419
1582,0.009289
1583,0.009998
1584,0.009253
1585,0.009516
1586,0.009244
1587,0.009534
1588,0.009261
1589,0.009368
1590,0.009241
1591,0.009636
1592,0.009246
1593,0.009336
1594,0.009297
1595,0.009930
1596,0.009513
1597,0.009309
1598,0.009268
1599,0.009412
1600,0.009478
1601,0.009247
1602,0.009549
1603,0.009322
1604,0.009482
1605,0.009244
1606,0.009342
1607,0.009410
1608,0.009630
1609,0.009289
1610,0.009368
1611,0.009225
1612,0.009359
1613,0.009317
1614,0.009820
1615,0.009527
1616,0.009477
1617,0.009365
1618,0.009263
1619,0.009368
1620,0.009596
1621,0.009604
1622,0.009270
1623,0.009508
1624,0.009261
1625,0.009488
1626,0.009135
1627,0.009759
1628,0.009153
1629,0.009301
1630,0.009655
1631,0.009424
1632,0.009236
1633,0.009835
1634,0.009388
1635,0.009244
1636,0.009548
1637,0.009283
1638,0.009571
1639,0.009665
1640,0.009542
1641,0.009298
1642,0.009398
1643,0.009500
1644,0.009352
1645,0.009318
1646,0.009381
1647,0.009409
1648,0.009339
1649,0.009523
1650,0.009193
1651,0.009470
1652,0.009144
1653,0.009587
1654,0.009499
1655,0.009380
1656,0.009309
1657,0.009177
1658,0.009871
1659,0.009312
1660,0.009539
1661,0.009274
1662,0.009523
1663,0.009327
1664,0.009378
1665,0.009364
1666,0.009471
1667,0.009317
1668,0.009262
1669,0.009547
1670,0.009352
1671,0.009441
1672,0.009553
1673,0.009239
1674,0.009651
1675,0.009150
1676,0.009463
1677,0.009593
1678,0.009550
1679,0.009429
1680,0.009261
1681,0.009388
1682,0.009542
1683,0.009331
1684,0.009381
1685,0.009584
1686,0.009273
1687,0.009349
1688,0.009452
1689,0.009341
1690,0.009381
1691,0.009540
1692,0.009340
1693,0.009568
1694,0.009814
1695,0.009538
1696,0.009224
1697,0.009719
1698,0.009635
1699,0.009612
1700,0.009267
1701,0.009278
1702,0.009502
1703,0.009326
1704,0.009328
1705,0.009497
1706,0.009397
1707,0.009486
1708,0.009282
1709,0.009871
1710,0.009414
1711,0.009240
1712,0.009418
1713,0.009416
1714,0.009530
1715,0.009406
1716,0.009297
1717,0.009330
1718,0.009310
1719,0.009488
1720,0.009959
1721,0.009456
1722,0.009391
1723,0.009316
1724,0.009708
1725,0.009388
1726,0.009600
1727,0.009353
1728,0.016932
1729,0.029118
1730,0.010817
1731,0.009145
1732,0.009489
1733,0.009283
1734,0.009450
1735,0.009496
1736,0.009131
1737,0.009448
1738,0.009356
1739,0.009579
1740,0.009328
1741,0.009426
1742,0.009359
1743,0.009988
1744,0.009481
1745,0.009380
1746,0.009438
1747,0.009609
1748,0.009547
1749,0.009479
1750,0.009337
1751,0.009326
1752,0.009449
